player_id,timestamp,total_empathy,total_courage,total_responsibility,total_intervention,bystander_type,scenario_1_score,scenario_2_score,total_score
P00028,2026-09-12T08:04:13,3,1,0,2,PASSIVE BYSTANDER,1,5,6
P00029,2026-09-12T08:04:13,9,5,8,12,SUPPORTIVE BYSTANDER,18,16,34
P00030,2026-09-12T08:04:13,9,1,2,3,PASSIVE BYSTANDER,5,10,15
P00031,2026-09-12T08:04:13,1,4,6,5,PASSIVE BYSTANDER,16,0,16
P00032,2026-09-12T08:04:13,1,7,9,9,SUPPORTIVE BYSTANDER,19,7,26
P00033,2026-09-12T08:04:13,9,5,8,10,SUPPORTIVE BYSTANDER,16,16,32
P00034,2026-09-12T08:04:13,2,9,10,8,PASSIVE BYSTANDER,9,20,29
P00035,2026-09-12T08:04:13,6,3,3,3,PASSIVE BYSTANDER,5,10,15
P00036,2026-09-12T08:04:13,8,1,1,4,PASSIVE BYSTANDER,4,10,14
P00037,2026-09-12T08:04:13,0,0,-4,-3,PASSIVE BYSTANDER,-1,-6,-7
P00038,2026-09-12T08:04:13,9,5,7,11,SUPPORTIVE BYSTANDER,16,16,32
P00039,2026-09-12T08:04:13,8,1,5,7,SUPPORTIVE BYSTANDER,6,15,21
P00040,2026-09-12T08:04:13,2,14,12,11,ACTIVE BYSTANDER,19,20,39
P00041,2026-09-12T08:04:13,1,10,11,9,PASSIVE BYSTANDER,19,12,31
P00042,2026-09-12T08:04:13,1,4,5,4,PASSIVE BYSTANDER,7,7,14
P00043,2026-09-12T08:04:13,3,3,1,3,PASSIVE BYSTANDER,5,5,10
P00044,2026-09-12T08:04:13,7,6,3,5,PASSIVE BYSTANDER,4,17,21
P00045,2026-09-12T08:04:13,0,0,-4,-3,PASSIVE BYSTANDER,-1,-6,-7
P00046,2026-09-12T08:04:13,4,6,6,6,SUPPORTIVE BYSTANDER,5,17,22
P00047,2026-09-12T08:04:13,1,7,6,5,PASSIVE BYSTANDER,-1,20,19
P00048,2026-09-12T08:04:13,1,4,8,8,SUPPORTIVE BYSTANDER,14,7,21
P00049,2026-09-12T08:04:13,3,0,-1,2,PASSIVE BYSTANDER,4,0,4
P00050,2026-09-12T08:04:13,1,4,10,8,PASSIVE BYSTANDER,16,7,23
P00051,2026-09-12T08:04:13,2,14,12,11,ACTIVE BYSTANDER,19,20,39
P00052,2026-09-12T08:04:13,1,2,-2,-2,PASSIVE BYSTANDER,5,-6,-1
P00053,2026-09-12T08:04:13,2,9,8,6,PASSIVE BYSTANDER,5,20,25
P00054,2026-09-12T08:04:13,0,0,1,3,PASSIVE BYSTANDER,5,-1,4
P00055,2026-09-12T08:04:13,0,0,-4,-3,PASSIVE BYSTANDER,-1,-6,-7
P00056,2026-09-12T08:04:13,1,4,11,11,SUPPORTIVE BYSTANDER,14,13,27
P00057,2026-09-12T08:04:13,1,10,11,9,PASSIVE BYSTANDER,19,12,31
P00058,2026-09-12T08:04:13,9,3,5,8,SUPPORTIVE BYSTANDER,9,16,25
P00059,2026-09-12T08:04:13,5,10,9,9,SUPPORTIVE BYSTANDER,16,17,33
P00060,2026-09-12T08:04:13,2,9,8,6,PASSIVE BYSTANDER,5,20,25
P00061,2026-09-12T08:04:13,1,7,4,6,SUPPORTIVE BYSTANDER,19,-1,18
P00062,2026-09-12T08:04:13,4,2,6,6,SUPPORTIVE BYSTANDER,5,13,18
P00063,2026-09-12T08:04:13,6,1,2,2,PASSIVE BYSTANDER,1,10,11
P00064,2026-09-12T08:04:13,4,6,3,3,PASSIVE BYSTANDER,-1,17,16
P00065,2026-09-12T08:04:13,1,7,9,8,PASSIVE BYSTANDER,5,20,25
P00066,2026-09-12T08:04:13,4,3,6,4,PASSIVE BYSTANDER,5,12,17
P00067,2026-09-12T08:04:13,1,4,8,7,PASSIVE BYSTANDER,7,13,20
P00068,2026-09-12T08:04:13,1,4,1,1,PASSIVE BYSTANDER,-1,8,7
P00069,2026-09-12T08:04:13,1,7,11,9,PASSIVE BYSTANDER,16,12,28
P00070,2026-09-12T08:04:13,1,4,9,9,SUPPORTIVE BYSTANDER,16,7,23
P00071,2026-09-12T08:04:13,6,3,4,4,PASSIVE BYSTANDER,7,10,17
P00072,2026-09-12T08:04:13,4,6,3,3,PASSIVE BYSTANDER,-1,17,16
P00073,2026-09-12T08:04:13,4,6,3,3,PASSIVE BYSTANDER,-1,17,16
P00074,2026-09-12T08:04:13,4,2,6,6,SUPPORTIVE BYSTANDER,5,13,18
P00075,2026-09-12T08:04:13,1,6,0,0,PASSIVE BYSTANDER,-10,17,7
P00076,2026-09-12T08:04:13,2,8,7,7,SUPPORTIVE BYSTANDER,16,8,24
P00077,2026-09-12T08:04:13,9,3,3,6,SUPPORTIVE BYSTANDER,5,16,21
P00078,2026-09-12T08:04:13,4,4,3,2,PASSIVE BYSTANDER,5,8,13
P00079,2026-09-12T08:04:13,2,6,7,7,SUPPORTIVE BYSTANDER,14,8,22
P00080,2026-09-12T08:04:13,7,1,4,7,SUPPORTIVE BYSTANDER,4,15,19
P00081,2026-09-12T08:04:13,2,9,8,6,PASSIVE BYSTANDER,5,20,25
P00082,2026-09-12T08:04:13,6,1,2,2,PASSIVE BYSTANDER,1,10,11
P00083,2026-09-12T08:04:13,1,4,10,8,PASSIVE BYSTANDER,16,7,23
P00084,2026-09-12T08:04:13,5,1,-1,4,PASSIVE BYSTANDER,4,5,9
P00085,2026-09-12T08:04:13,7,1,6,6,PASSIVE BYSTANDER,5,15,20
P00086,2026-09-12T08:04:13,1,4,4,6,SUPPORTIVE BYSTANDER,16,-1,15
P00087,2026-09-12T08:04:13,4,0,4,5,PASSIVE BYSTANDER,6,7,13
P00088,2026-09-12T08:04:13,4,6,3,3,PASSIVE BYSTANDER,-1,17,16
P00089,2026-09-12T08:04:13,4,3,6,4,PASSIVE BYSTANDER,5,12,17
P00090,2026-09-12T08:04:13,1,2,7,6,PASSIVE BYSTANDER,9,7,16
P00091,2026-09-12T08:04:13,0,2,5,5,PASSIVE BYSTANDER,5,7,12
P00092,2026-09-12T08:04:13,4,0,4,5,PASSIVE BYSTANDER,6,7,13
P00093,2026-09-12T08:04:13,1,2,6,5,PASSIVE BYSTANDER,7,7,14
P00094,2026-09-12T08:04:13,4,4,3,2,PASSIVE BYSTANDER,5,8,13
P00095,2026-09-12T08:04:13,1,0,0,0,PASSIVE BYSTANDER,1,0,1
P00096,2026-09-12T08:04:13,6,1,0,3,PASSIVE BYSTANDER,5,5,10
P00097,2026-09-12T08:04:13,3,0,-1,2,PASSIVE BYSTANDER,4,0,4
P00098,2026-09-12T08:04:13,1,6,12,12,SUPPORTIVE BYSTANDER,18,13,31
P00099,2026-09-12T08:04:13,0,0,-4,-3,PASSIVE BYSTANDER,-1,-6,-7
P00100,2026-09-12T08:04:13,3,2,2,4,PASSIVE BYSTANDER,4,7,11
P00001,2026-09-12T15:40:57,1,2,0,0,PASSIVE BYSTANDER,9,-6,3
P00003,2026-09-12T16:20:00,-3,0,-7,-6,PASSIVE BYSTANDER,-10,-6,-16
P00007,2026-09-12T21:11:30,3,0,-2,-2,PASSIVE BYSTANDER,5,-6,-1
P00008,2026-09-12T21:13:45,-3,0,-7,-6,PASSIVE BYSTANDER,-10,-6,-16
P00009,2026-09-12T21:13:55,-3,0,-7,-6,PASSIVE BYSTANDER,-10,-6,-16
P00010,2026-09-12T21:15:41,-3,0,-7,-6,PASSIVE BYSTANDER,-10,-6,-16
P00015,2026-09-12T21:59:42,5,5,10,11,SUPPORTIVE BYSTANDER,16,15,31
P00016,2026-09-12T22:54:08,5,5,10,11,SUPPORTIVE BYSTANDER,16,15,31
P00021,2026-09-12T23:07:49,-3,0,-7,-6,PASSIVE BYSTANDER,-10,-6,-16
P00057,2026-09-13T00:38:24,8,6,4,5,PASSIVE BYSTANDER,6,17,23
P00058,2026-09-13T00:40:47,1,2,6,5,PASSIVE BYSTANDER,7,7,14
P00060,2026-09-13T00:48:18,1,2,5,4,PASSIVE BYSTANDER,5,7,12
P00064,2026-09-13T13:08:11,5,5,10,11,SUPPORTIVE BYSTANDER,16,15,31
P00081,2026-09-13T22:21:35,5,13,9,9,SUPPORTIVE BYSTANDER,19,17,36
P00082,2026-09-14T01:46:18,9,8,7,11,ACTIVE BYSTANDER,19,16,35
