player_id,timestamp,scenario,question_id,branch,choice,choice_text,empathy_change,courage_change,responsibility_change,intervention_change
P00010,2026-09-12T08:04:13,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00010,2026-09-12T08:04:13,scenario_2,Q2,D,D1,Noi voi giao vien nhung gi minh biet.,0,0,4,3
P00011,2026-09-12T08:04:13,scenario_1,Q1,-,C,Dung lai quan sat nhung chua lam gi.,1,0,0,0
P00011,2026-09-12T08:04:13,scenario_1,Q2,C,C3,Cho nhom hoc sinh roi di roi ho tro Minh.,2,0,1,1
P00011,2026-09-12T08:04:13,scenario_2,Q1,-,B,Nhan rieng cho Lan.,4,1,2,2
P00011,2026-09-12T08:04:13,scenario_2,Q2,B,B1,Noi rang ban se o ben va cung tim cach giai quyet.,4,0,0,3
P00012,2026-09-12T08:04:13,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00012,2026-09-12T08:04:13,scenario_1,Q2,A,A2,Goi them mot nguoi ban toi ho tro.,0,0,2,2
P00012,2026-09-12T08:04:13,scenario_2,Q1,-,C,Bao cao bai dang.,0,0,3,3
P00012,2026-09-12T08:04:13,scenario_2,Q2,C,C1,Giu quyet dinh bao cao.,0,3,3,0
P00013,2026-09-12T08:04:13,scenario_1,Q1,-,B,Di tim giao vien hoac nhan vien nha truong.,1,2,3,3
P00013,2026-09-12T08:04:13,scenario_1,Q2,B,B1,Khang dinh minh truc tiep chung kien.,0,2,3,2
P00013,2026-09-12T08:04:13,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00013,2026-09-12T08:04:13,scenario_2,Q2,D,D3,Im lang.,0,0,-1,0
P00014,2026-09-12T08:04:13,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00014,2026-09-12T08:04:13,scenario_1,Q2,D,D3,Khong binh luan nhung tiep tuc theo doi.,0,0,0,0
P00014,2026-09-12T08:04:13,scenario_2,Q1,-,B,Nhan rieng cho Lan.,4,1,2,2
P00014,2026-09-12T08:04:13,scenario_2,Q2,B,B3,Noi Ban dung de y ho.,1,0,0,0
P00015,2026-09-12T08:04:13,scenario_1,Q1,-,C,Dung lai quan sat nhung chua lam gi.,1,0,0,0
P00015,2026-09-12T08:04:13,scenario_1,Q2,C,C2,Nhan tin hoi Minh co on khong.,3,0,0,1
P00015,2026-09-12T08:04:13,scenario_2,Q1,-,C,Bao cao bai dang.,0,0,3,3
P00015,2026-09-12T08:04:13,scenario_2,Q2,C,C1,Giu quyet dinh bao cao.,0,3,3,0
P00016,2026-09-12T08:04:13,scenario_1,Q1,-,B,Di tim giao vien hoac nhan vien nha truong.,1,2,3,3
P00016,2026-09-12T08:04:13,scenario_1,Q2,B,B2,De nghi giao vien di kiem tra.,0,0,2,3
P00016,2026-09-12T08:04:13,scenario_2,Q1,-,B,Nhan rieng cho Lan.,4,1,2,2
P00016,2026-09-12T08:04:13,scenario_2,Q2,B,B4,Khong tra loi.,-2,0,-2,0
P00017,2026-09-12T08:04:13,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00017,2026-09-12T08:04:13,scenario_1,Q2,D,D3,Khong binh luan nhung tiep tuc theo doi.,0,0,0,0
P00017,2026-09-12T08:04:13,scenario_2,Q1,-,B,Nhan rieng cho Lan.,4,1,2,2
P00017,2026-09-12T08:04:13,scenario_2,Q2,B,B3,Noi Ban dung de y ho.,1,0,0,0
P00018,2026-09-12T08:04:13,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00018,2026-09-12T08:04:13,scenario_1,Q2,A,A2,Goi them mot nguoi ban toi ho tro.,0,0,2,2
P00018,2026-09-12T08:04:13,scenario_2,Q1,-,A,Bao moi nguoi dung lai.,1,4,4,3
P00018,2026-09-12T08:04:13,scenario_2,Q2,A,A3,Thoat group.,0,0,-2,-2
P00019,2026-09-12T08:04:13,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00019,2026-09-12T08:04:13,scenario_1,Q2,D,D3,Khong binh luan nhung tiep tuc theo doi.,0,0,0,0
P00019,2026-09-12T08:04:13,scenario_2,Q1,-,A,Bao moi nguoi dung lai.,1,4,4,3
P00019,2026-09-12T08:04:13,scenario_2,Q2,A,A2,Noi rang se bao giao vien neu tiep tuc.,0,3,3,2
P00020,2026-09-12T08:04:13,scenario_1,Q1,-,C,Dung lai quan sat nhung chua lam gi.,1,0,0,0
P00020,2026-09-12T08:04:13,scenario_1,Q2,C,C2,Nhan tin hoi Minh co on khong.,3,0,0,1
P00020,2026-09-12T08:04:13,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00020,2026-09-12T08:04:13,scenario_2,Q2,D,D4,Noi Em khong biet gi ca.,0,0,-3,-3
P00021,2026-09-12T08:04:13,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00021,2026-09-12T08:04:13,scenario_1,Q2,D,D2,Nhan rieng cho Minh.,3,0,0,2
P00021,2026-09-12T08:04:13,scenario_2,Q1,-,C,Bao cao bai dang.,0,0,3,3
P00021,2026-09-12T08:04:13,scenario_2,Q2,C,C2,Giai thich ly do bao cao.,0,2,3,2
P00022,2026-09-12T08:04:13,scenario_1,Q1,-,B,Di tim giao vien hoac nhan vien nha truong.,1,2,3,3
P00022,2026-09-12T08:04:13,scenario_1,Q2,B,B3,Noi rang co the chi la dua.,0,0,-1,-1
P00022,2026-09-12T08:04:13,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00022,2026-09-12T08:04:13,scenario_2,Q2,D,D4,Noi Em khong biet gi ca.,0,0,-3,-3
P00023,2026-09-12T08:04:13,scenario_1,Q1,-,C,Dung lai quan sat nhung chua lam gi.,1,0,0,0
P00023,2026-09-12T08:04:13,scenario_1,Q2,C,C2,Nhan tin hoi Minh co on khong.,3,0,0,1
P00023,2026-09-12T08:04:13,scenario_2,Q1,-,B,Nhan rieng cho Lan.,4,1,2,2
P00023,2026-09-12T08:04:13,scenario_2,Q2,B,B4,Khong tra loi.,-2,0,-2,0
P00024,2026-09-12T08:04:13,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00024,2026-09-12T08:04:13,scenario_1,Q2,A,A1,Binh tinh giai thich hanh dong nay khong dung.,0,3,2,2
P00024,2026-09-12T08:04:13,scenario_2,Q1,-,A,Bao moi nguoi dung lai.,1,4,4,3
P00024,2026-09-12T08:04:13,scenario_2,Q2,A,A2,Noi rang se bao giao vien neu tiep tuc.,0,3,3,2
P00025,2026-09-12T08:04:13,scenario_1,Q1,-,B,Di tim giao vien hoac nhan vien nha truong.,1,2,3,3
P00025,2026-09-12T08:04:13,scenario_1,Q2,B,B4,Noi rang Minh nen tu giai quyet.,0,0,-2,-2
P00025,2026-09-12T08:04:13,scenario_2,Q1,-,A,Bao moi nguoi dung lai.,1,4,4,3
P00025,2026-09-12T08:04:13,scenario_2,Q2,A,A4,Im lang.,0,-1,0,0
P00026,2026-09-12T08:04:13,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00026,2026-09-12T08:04:13,scenario_1,Q2,D,D4,Tham gia binh luan che gieu.,-3,0,-3,-3
P00026,2026-09-12T08:04:13,scenario_2,Q1,-,C,Bao cao bai dang.,0,0,3,3
P00026,2026-09-12T08:04:13,scenario_2,Q2,C,C1,Giu quyet dinh bao cao.,0,3,3,0
P00027,2026-09-12T08:04:13,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00027,2026-09-12T08:04:13,scenario_1,Q2,A,A3,Tim giao vien va bao su viec.,0,0,3,3
P00027,2026-09-12T08:04:13,scenario_2,Q1,-,C,Bao cao bai dang.,0,0,3,3
P00027,2026-09-12T08:04:13,scenario_2,Q2,C,C1,Giu quyet dinh bao cao.,0,3,3,0
P00028,2026-09-12T08:04:13,scenario_1,Q1,-,C,Dung lai quan sat nhung chua lam gi.,1,0,0,0
P00028,2026-09-12T08:04:13,scenario_1,Q2,C,C4,Tiep tuc dung ngoai.,0,0,0,0
P00028,2026-09-12T08:04:13,scenario_2,Q1,-,B,Nhan rieng cho Lan.,4,1,2,2
P00028,2026-09-12T08:04:13,scenario_2,Q2,B,B4,Khong tra loi.,-2,0,-2,0
P00029,2026-09-12T08:04:13,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00029,2026-09-12T08:04:13,scenario_1,Q2,A,A3,Tim giao vien va bao su viec.,0,0,3,3
P00029,2026-09-12T08:04:13,scenario_2,Q1,-,B,Nhan rieng cho Lan.,4,1,2,2
P00029,2026-09-12T08:04:13,scenario_2,Q2,B,B1,Noi rang ban se o ben va cung tim cach giai quyet.,4,0,0,3
P00030,2026-09-12T08:04:13,scenario_1,Q1,-,C,Dung lai quan sat nhung chua lam gi.,1,0,0,0
P00030,2026-09-12T08:04:13,scenario_1,Q2,C,C2,Nhan tin hoi Minh co on khong.,3,0,0,1
P00030,2026-09-12T08:04:13,scenario_2,Q1,-,B,Nhan rieng cho Lan.,4,1,2,2
P00030,2026-09-12T08:04:13,scenario_2,Q2,B,B3,Noi Ban dung de y ho.,1,0,0,0
P00031,2026-09-12T08:04:13,scenario_1,Q1,-,B,Di tim giao vien hoac nhan vien nha truong.,1,2,3,3
P00031,2026-09-12T08:04:13,scenario_1,Q2,B,B1,Khang dinh minh truc tiep chung kien.,0,2,3,2
P00031,2026-09-12T08:04:13,scenario_2,Q1,-,C,Bao cao bai dang.,0,0,3,3
P00031,2026-09-12T08:04:13,scenario_2,Q2,C,C4,Huy bao cao.,0,0,-3,-3
P00032,2026-09-12T08:04:13,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00032,2026-09-12T08:04:13,scenario_1,Q2,A,A1,Binh tinh giai thich hanh dong nay khong dung.,0,3,2,2
P00032,2026-09-12T08:04:13,scenario_2,Q1,-,C,Bao cao bai dang.,0,0,3,3
P00032,2026-09-12T08:04:13,scenario_2,Q2,C,C3,Khong tra loi.,0,0,1,0
P00033,2026-09-12T08:04:13,scenario_1,Q1,-,B,Di tim giao vien hoac nhan vien nha truong.,1,2,3,3
P00033,2026-09-12T08:04:13,scenario_1,Q2,B,B1,Khang dinh minh truc tiep chung kien.,0,2,3,2
P00033,2026-09-12T08:04:13,scenario_2,Q1,-,B,Nhan rieng cho Lan.,4,1,2,2
P00033,2026-09-12T08:04:13,scenario_2,Q2,B,B1,Noi rang ban se o ben va cung tim cach giai quyet.,4,0,0,3
P00034,2026-09-12T08:04:13,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00034,2026-09-12T08:04:13,scenario_1,Q2,A,A4,So hai va rut lui.,0,-2,0,-1
P00034,2026-09-12T08:04:13,scenario_2,Q1,-,A,Bao moi nguoi dung lai.,1,4,4,3
P00034,2026-09-12T08:04:13,scenario_2,Q2,A,A2,Noi rang se bao giao vien neu tiep tuc.,0,3,3,2
P00035,2026-09-12T08:04:13,scenario_1,Q1,-,B,Di tim giao vien hoac nhan vien nha truong.,1,2,3,3
P00035,2026-09-12T08:04:13,scenario_1,Q2,B,B4,Noi rang Minh nen tu giai quyet.,0,0,-2,-2
P00035,2026-09-12T08:04:13,scenario_2,Q1,-,B,Nhan rieng cho Lan.,4,1,2,2
P00035,2026-09-12T08:04:13,scenario_2,Q2,B,B3,Noi Ban dung de y ho.,1,0,0,0
P00036,2026-09-12T08:04:13,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00036,2026-09-12T08:04:13,scenario_1,Q2,D,D2,Nhan rieng cho Minh.,3,0,0,2
P00036,2026-09-12T08:04:13,scenario_2,Q1,-,B,Nhan rieng cho Lan.,4,1,2,2
P00036,2026-09-12T08:04:13,scenario_2,Q2,B,B3,Noi Ban dung de y ho.,1,0,0,0
P00037,2026-09-12T08:04:13,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00037,2026-09-12T08:04:13,scenario_1,Q2,D,D3,Khong binh luan nhung tiep tuc theo doi.,0,0,0,0
P00037,2026-09-12T08:04:13,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00037,2026-09-12T08:04:13,scenario_2,Q2,D,D4,Noi Em khong biet gi ca.,0,0,-3,-3
P00038,2026-09-12T08:04:13,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00038,2026-09-12T08:04:13,scenario_1,Q2,A,A2,Goi them mot nguoi ban toi ho tro.,0,0,2,2
P00038,2026-09-12T08:04:13,scenario_2,Q1,-,B,Nhan rieng cho Lan.,4,1,2,2
P00038,2026-09-12T08:04:13,scenario_2,Q2,B,B1,Noi rang ban se o ben va cung tim cach giai quyet.,4,0,0,3
P00039,2026-09-12T08:04:13,scenario_1,Q1,-,C,Dung lai quan sat nhung chua lam gi.,1,0,0,0
P00039,2026-09-12T08:04:13,scenario_1,Q2,C,C1,Tien toi ho tro Minh.,3,0,0,2
P00039,2026-09-12T08:04:13,scenario_2,Q1,-,B,Nhan rieng cho Lan.,4,1,2,2
P00039,2026-09-12T08:04:13,scenario_2,Q2,B,B2,Khuyen Lan luu bang chung va bao nguoi lon.,0,0,3,3
P00040,2026-09-12T08:04:13,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00040,2026-09-12T08:04:13,scenario_1,Q2,A,A1,Binh tinh giai thich hanh dong nay khong dung.,0,3,2,2
P00040,2026-09-12T08:04:13,scenario_2,Q1,-,A,Bao moi nguoi dung lai.,1,4,4,3
P00040,2026-09-12T08:04:13,scenario_2,Q2,A,A2,Noi rang se bao giao vien neu tiep tuc.,0,3,3,2
P00041,2026-09-12T08:04:13,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00041,2026-09-12T08:04:13,scenario_1,Q2,A,A1,Binh tinh giai thich hanh dong nay khong dung.,0,3,2,2
P00041,2026-09-12T08:04:13,scenario_2,Q1,-,C,Bao cao bai dang.,0,0,3,3
P00041,2026-09-12T08:04:13,scenario_2,Q2,C,C1,Giu quyet dinh bao cao.,0,3,3,0
P00042,2026-09-12T08:04:13,scenario_1,Q1,-,B,Di tim giao vien hoac nhan vien nha truong.,1,2,3,3
P00042,2026-09-12T08:04:13,scenario_1,Q2,B,B3,Noi rang co the chi la dua.,0,0,-1,-1
P00042,2026-09-12T08:04:13,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00042,2026-09-12T08:04:13,scenario_2,Q2,D,D2,Noi chuyen rieng voi giao vien.,0,2,3,2
P00043,2026-09-12T08:04:13,scenario_1,Q1,-,B,Di tim giao vien hoac nhan vien nha truong.,1,2,3,3
P00043,2026-09-12T08:04:13,scenario_1,Q2,B,B4,Noi rang Minh nen tu giai quyet.,0,0,-2,-2
P00043,2026-09-12T08:04:13,scenario_2,Q1,-,B,Nhan rieng cho Lan.,4,1,2,2
P00043,2026-09-12T08:04:13,scenario_2,Q2,B,B4,Khong tra loi.,-2,0,-2,0
P00044,2026-09-12T08:04:13,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00044,2026-09-12T08:04:13,scenario_1,Q2,D,D2,Nhan rieng cho Minh.,3,0,0,2
P00044,2026-09-12T08:04:13,scenario_2,Q1,-,A,Bao moi nguoi dung lai.,1,4,4,3
P00044,2026-09-12T08:04:13,scenario_2,Q2,A,A1,Giai thich vi sao hanh dong nay co the lam Lan ton thuong.,3,2,0,0
P00045,2026-09-12T08:04:13,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00045,2026-09-12T08:04:13,scenario_1,Q2,D,D3,Khong binh luan nhung tiep tuc theo doi.,0,0,0,0
P00045,2026-09-12T08:04:13,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00045,2026-09-12T08:04:13,scenario_2,Q2,D,D4,Noi Em khong biet gi ca.,0,0,-3,-3
P00046,2026-09-12T08:04:13,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00046,2026-09-12T08:04:13,scenario_1,Q2,D,D1,Bao giao vien.,0,0,3,3
P00046,2026-09-12T08:04:13,scenario_2,Q1,-,A,Bao moi nguoi dung lai.,1,4,4,3
P00046,2026-09-12T08:04:13,scenario_2,Q2,A,A1,Giai thich vi sao hanh dong nay co the lam Lan ton thuong.,3,2,0,0
P00047,2026-09-12T08:04:13,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00047,2026-09-12T08:04:13,scenario_1,Q2,D,D3,Khong binh luan nhung tiep tuc theo doi.,0,0,0,0
P00047,2026-09-12T08:04:13,scenario_2,Q1,-,A,Bao moi nguoi dung lai.,1,4,4,3
P00047,2026-09-12T08:04:13,scenario_2,Q2,A,A2,Noi rang se bao giao vien neu tiep tuc.,0,3,3,2
P00048,2026-09-12T08:04:13,scenario_1,Q1,-,B,Di tim giao vien hoac nhan vien nha truong.,1,2,3,3
P00048,2026-09-12T08:04:13,scenario_1,Q2,B,B2,De nghi giao vien di kiem tra.,0,0,2,3
P00048,2026-09-12T08:04:13,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00048,2026-09-12T08:04:13,scenario_2,Q2,D,D2,Noi chuyen rieng voi giao vien.,0,2,3,2
P00049,2026-09-12T08:04:13,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00049,2026-09-12T08:04:13,scenario_1,Q2,D,D2,Nhan rieng cho Minh.,3,0,0,2
P00049,2026-09-12T08:04:13,scenario_2,Q1,-,C,Bao cao bai dang.,0,0,3,3
P00049,2026-09-12T08:04:13,scenario_2,Q2,C,C4,Huy bao cao.,0,0,-3,-3
P00050,2026-09-12T08:04:13,scenario_1,Q1,-,B,Di tim giao vien hoac nhan vien nha truong.,1,2,3,3
P00050,2026-09-12T08:04:13,scenario_1,Q2,B,B1,Khang dinh minh truc tiep chung kien.,0,2,3,2
P00050,2026-09-12T08:04:13,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00050,2026-09-12T08:04:13,scenario_2,Q2,D,D1,Noi voi giao vien nhung gi minh biet.,0,0,4,3
P00051,2026-09-12T08:04:13,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00051,2026-09-12T08:04:13,scenario_1,Q2,A,A1,Binh tinh giai thich hanh dong nay khong dung.,0,3,2,2
P00051,2026-09-12T08:04:13,scenario_2,Q1,-,A,Bao moi nguoi dung lai.,1,4,4,3
P00051,2026-09-12T08:04:13,scenario_2,Q2,A,A2,Noi rang se bao giao vien neu tiep tuc.,0,3,3,2
P00052,2026-09-12T08:04:13,scenario_1,Q1,-,B,Di tim giao vien hoac nhan vien nha truong.,1,2,3,3
P00052,2026-09-12T08:04:13,scenario_1,Q2,B,B4,Noi rang Minh nen tu giai quyet.,0,0,-2,-2
P00052,2026-09-12T08:04:13,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00052,2026-09-12T08:04:13,scenario_2,Q2,D,D4,Noi Em khong biet gi ca.,0,0,-3,-3
P00053,2026-09-12T08:04:13,scenario_1,Q1,-,B,Di tim giao vien hoac nhan vien nha truong.,1,2,3,3
P00053,2026-09-12T08:04:13,scenario_1,Q2,B,B4,Noi rang Minh nen tu giai quyet.,0,0,-2,-2
P00053,2026-09-12T08:04:13,scenario_2,Q1,-,A,Bao moi nguoi dung lai.,1,4,4,3
P00053,2026-09-12T08:04:13,scenario_2,Q2,A,A2,Noi rang se bao giao vien neu tiep tuc.,0,3,3,2
P00054,2026-09-12T08:04:13,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00054,2026-09-12T08:04:13,scenario_1,Q2,D,D1,Bao giao vien.,0,0,3,3
P00054,2026-09-12T08:04:13,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00054,2026-09-12T08:04:13,scenario_2,Q2,D,D3,Im lang.,0,0,-1,0
P00055,2026-09-12T08:04:13,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00055,2026-09-12T08:04:13,scenario_1,Q2,D,D3,Khong binh luan nhung tiep tuc theo doi.,0,0,0,0
P00055,2026-09-12T08:04:13,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00055,2026-09-12T08:04:13,scenario_2,Q2,D,D4,Noi Em khong biet gi ca.,0,0,-3,-3
P00056,2026-09-12T08:04:13,scenario_1,Q1,-,B,Di tim giao vien hoac nhan vien nha truong.,1,2,3,3
P00056,2026-09-12T08:04:13,scenario_1,Q2,B,B2,De nghi giao vien di kiem tra.,0,0,2,3
P00056,2026-09-12T08:04:13,scenario_2,Q1,-,C,Bao cao bai dang.,0,0,3,3
P00056,2026-09-12T08:04:13,scenario_2,Q2,C,C2,Giai thich ly do bao cao.,0,2,3,2
P00057,2026-09-12T08:04:13,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00057,2026-09-12T08:04:13,scenario_1,Q2,A,A1,Binh tinh giai thich hanh dong nay khong dung.,0,3,2,2
P00057,2026-09-12T08:04:13,scenario_2,Q1,-,C,Bao cao bai dang.,0,0,3,3
P00057,2026-09-12T08:04:13,scenario_2,Q2,C,C1,Giu quyet dinh bao cao.,0,3,3,0
P00058,2026-09-12T08:04:13,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00058,2026-09-12T08:04:13,scenario_1,Q2,A,A4,So hai va rut lui.,0,-2,0,-1
P00058,2026-09-12T08:04:13,scenario_2,Q1,-,B,Nhan rieng cho Lan.,4,1,2,2
P00058,2026-09-12T08:04:13,scenario_2,Q2,B,B1,Noi rang ban se o ben va cung tim cach giai quyet.,4,0,0,3
P00059,2026-09-12T08:04:13,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00059,2026-09-12T08:04:13,scenario_1,Q2,A,A2,Goi them mot nguoi ban toi ho tro.,0,0,2,2
P00059,2026-09-12T08:04:13,scenario_2,Q1,-,A,Bao moi nguoi dung lai.,1,4,4,3
P00059,2026-09-12T08:04:13,scenario_2,Q2,A,A1,Giai thich vi sao hanh dong nay co the lam Lan ton thuong.,3,2,0,0
P00060,2026-09-12T08:04:13,scenario_1,Q1,-,B,Di tim giao vien hoac nhan vien nha truong.,1,2,3,3
P00060,2026-09-12T08:04:13,scenario_1,Q2,B,B4,Noi rang Minh nen tu giai quyet.,0,0,-2,-2
P00060,2026-09-12T08:04:13,scenario_2,Q1,-,A,Bao moi nguoi dung lai.,1,4,4,3
P00060,2026-09-12T08:04:13,scenario_2,Q2,A,A2,Noi rang se bao giao vien neu tiep tuc.,0,3,3,2
P00061,2026-09-12T08:04:13,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
