player_id,gender,age,empathy,confidence,intervention,score,total_questions,intervention_count,passive_count,play_time_minutes
P102,Nam,15,3.2,2.44,2.21,94.3,10,5,5,11
P103,Nữ,15,3.88,2.95,4.28,100.0,10,9,1,14
P104,Nam,16,4.01,3.78,3.54,100.0,10,9,1,16
P105,Nữ,15,4.74,3.85,3.91,100.0,10,8,2,15
P106,Nam,17,2.6,3.58,2.86,87.7,10,5,5,7
P107,Nữ,15,4.24,3.84,3.52,98.4,10,7,3,17
P108,Nữ,16,3.53,2.52,2.97,91.1,10,3,7,11
P109,Nam,15,3.55,3.74,4.18,100.0,10,8,2,8
P110,Nam,17,5.0,4.33,4.6,100.0,10,9,1,11
P111,Nữ,16,3.33,2.91,3.07,90.5,10,5,5,12
P112,Nữ,16,3.53,4.17,2.76,100.0,10,7,3,5
P113,Nữ,17,3.48,3.11,2.75,87.6,10,4,6,17
P114,Nam,17,4.31,4.55,4.53,100.0,10,8,2,13
P115,Nam,15,2.91,3.33,2.92,89.4,10,7,3,13
P116,Nữ,17,3.47,3.94,3.18,100.0,10,7,3,11
P117,Nữ,15,3.91,2.9,3.75,100.0,10,7,3,15
P118,Nam,15,3.24,2.38,2.29,88.8,10,3,7,17
P119,Nam,17,2.35,3.51,2.82,87.8,10,5,5,13
P120,Nữ,15,3.68,4.05,3.76,100.0,10,7,3,11
P121,Nữ,15,3.9,2.64,2.85,99.8,10,6,4,11
P122,Nữ,16,3.71,3.65,3.4,97.1,10,7,3,9
P123,Nam,15,3.97,2.69,3.73,100.0,10,8,2,14
P124,Nữ,17,4.78,4.72,3.97,100.0,10,7,3,12
P125,Nam,15,4.04,3.27,3.7,100.0,10,7,3,7
P126,Nam,15,3.1,2.32,2.39,91.8,10,4,6,19
P127,Nam,15,4.02,3.77,3.51,100.0,10,6,4,12
P128,Nữ,16,5.0,4.25,4.97,100.0,10,10,0,17
P129,Nữ,15,3.29,4.19,3.8,100.0,10,8,2,14
P130,Nữ,15,4.1,2.85,3.26,98.7,10,6,4,13
P131,Nam,16,3.82,2.8,3.46,100.0,10,8,2,15
P132,Nam,16,4.24,4.06,4.03,100.0,10,9,1,12
P133,Nữ,16,3.88,2.87,3.01,100.0,10,6,4,14
P134,Nữ,16,3.72,3.48,3.86,100.0,10,8,2,10
P135,Nữ,15,3.42,3.1,3.29,94.2,10,8,2,9
P136,Nam,16,3.58,3.13,3.82,100.0,10,9,1,7
P137,Nam,15,3.87,4.06,3.87,100.0,10,7,3,16
P138,Nam,17,5.0,4.1,4.35,100.0,10,10,0,10
P139,Nữ,15,3.43,3.12,2.75,86.4,10,4,6,9
P140,Nam,17,3.68,3.57,4.08,100.0,10,9,1,11
P141,Nữ,17,3.67,3.81,3.23,100.0,10,7,3,13
P142,Nam,15,3.89,4.93,3.95,100.0,10,7,3,10
P143,Nam,15,3.29,3.84,3.91,100.0,10,7,3,13
P144,Nam,17,3.34,3.57,3.42,89.5,10,9,1,17
P145,Nam,17,3.3,2.98,3.2,97.9,10,7,3,18
P146,Nam,16,3.58,2.94,2.76,88.0,10,5,5,17
P147,Nam,17,3.36,3.36,3.27,100.0,10,10,0,10
P148,Nam,17,3.38,3.82,3.7,100.0,10,8,2,10
P149,Nam,17,4.08,4.31,4.35,100.0,10,10,0,15
P150,Nam,16,4.6,4.4,4.33,100.0,10,10,0,9
P151,Nữ,16,3.94,3.39,3.63,100.0,10,7,3,12
P152,Nam,17,2.82,3.29,3.16,100.0,10,6,4,12
P153,Nữ,15,3.86,4.43,3.94,100.0,10,9,1,12
P154,Nữ,16,3.41,3.37,3.69,94.9,10,8,2,9
P155,Nam,17,4.48,3.12,3.64,100.0,10,9,1,11
P156,Nữ,16,3.34,4.26,3.1,84.5,10,7,3,10
P157,Nữ,15,3.04,3.41,3.19,91.7,10,5,5,14
P158,Nam,16,4.12,3.68,4.48,100.0,10,7,3,9
P159,Nam,15,3.67,3.57,3.45,100.0,10,5,5,16
P160,Nam,17,3.65,4.03,3.82,100.0,10,8,2,13
P161,Nữ,15,4.12,4.46,4.2,100.0,10,8,2,16
P162,Nữ,15,3.26,4.16,3.51,92.8,10,7,3,9
P163,Nam,16,4.25,3.45,3.67,94.1,10,7,3,5
P164,Nữ,15,2.67,3.2,3.09,94.6,10,5,5,11
P165,Nữ,17,3.7,2.82,3.79,100.0,10,7,3,12
P166,Nữ,17,3.84,2.42,3.11,90.9,10,5,5,11
P167,Nam,17,4.87,4.57,4.41,100.0,10,10,0,14
P168,Nữ,17,3.74,3.12,3.65,100.0,10,8,2,13
P169,Nam,15,4.38,3.6,4.42,100.0,10,10,0,9
P170,Nữ,15,4.83,4.3,4.26,100.0,10,8,2,13
P171,Nam,17,4.04,3.36,3.66,100.0,10,9,1,13
P172,Nam,16,3.72,3.54,3.77,98.3,10,7,3,6
P173,Nữ,17,3.96,3.98,3.69,100.0,10,6,4,7
P174,Nam,17,3.85,4.13,4.44,100.0,10,10,0,11
P175,Nữ,15,3.59,3.87,3.83,95.4,10,9,1,16
P176,Nữ,17,3.29,3.41,3.43,100.0,10,6,4,9
P177,Nữ,16,3.68,4.09,3.93,100.0,10,9,1,5
P178,Nam,15,4.45,2.98,3.64,98.5,10,6,4,15
P179,Nữ,16,3.4,3.45,3.31,100.0,10,7,3,8
P180,Nam,15,4.35,3.6,3.4,100.0,10,9,1,14
P181,Nữ,15,3.47,3.12,3.14,100.0,10,7,3,13
P182,Nữ,15,4.37,4.02,4.02,100.0,10,8,2,11
P183,Nữ,17,4.17,3.79,4.17,100.0,10,8,2,6
P184,Nữ,17,4.3,4.03,4.42,96.4,10,10,0,11
P185,Nam,15,4.42,3.35,4.1,100.0,10,7,3,17
P186,Nam,17,3.58,3.49,3.76,100.0,10,8,2,13
P187,Nam,17,5.0,4.27,4.64,100.0,10,10,0,15
P188,Nam,16,4.12,3.1,4.19,100.0,10,9,1,9
P189,Nam,16,3.66,3.61,3.66,100.0,10,9,1,13
P190,Nam,15,3.54,3.88,4.0,99.1,10,9,1,14
P191,Nữ,16,3.51,4.09,3.58,100.0,10,7,3,12
P192,Nam,16,2.99,2.2,3.18,84.4,10,5,5,5
P193,Nam,17,3.28,2.46,3.46,100.0,10,6,4,18
P194,Nam,17,4.34,3.69,3.09,100.0,10,5,5,7
P195,Nam,16,4.36,5.0,4.97,100.0,10,10,0,14
P196,Nữ,17,4.19,3.93,4.01,100.0,10,7,3,11
P197,Nam,15,2.6,2.69,2.23,73.7,10,5,5,16
P198,Nam,15,4.3,2.98,3.33,100.0,10,5,5,11
P199,Nữ,15,4.06,3.15,3.64,95.4,10,7,3,12
P200,Nam,17,2.66,3.02,2.74,91.6,10,6,4,16
